frame,machine angle,expert angle,chosen angle,angle
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0.125,0,0.125,0.125
11,0,0,0,0.125
12,-0.125,0,-0.125,0.0
13,0,0,0,0.0
14,0,0,0,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
36,0,0,0,0.0
37,0,0,0,0.0
38,0,0,0,0.0
39,0,0,0,0.0
40,0,0,0,0.0
41,0,0,0,0.0
42,0,0,0,0.0
43,0,0,0,0.0
44,0,0,0,0.0
45,0,0,0,0.0
46,0,0,0,0.0
47,0,0,0,0.0
48,0,0,0,0.0
49,0,0,0,0.0
50,0,0,0,0.0
51,0,0,0,0.0
52,0,0,0,0.0
53,0,0,0,0.0
54,0,0,0,0.0
55,0,0,0,0.0
56,0,0,0,0.0
57,0,0,0,0.0
58,0,0,0,0.0
59,0,0,0,0.0
60,0,0,0,0.0
61,0,0,0,0.0
62,0,0,0,0.0
63,0,0,0,0.0
64,0,0,0,0.0
65,0,0,0,0.0
66,0,0,0,0.0
67,0,0,0,0.0
68,0,0,0,0.0
69,0,0,0,0.0
70,0,0,0,0.0
71,0,0,0,0.0
72,0,0,0,0.0
73,0,0,0,0.0
74,0,0,0,0.0
75,0.125,0,0.125,0.125
76,0,-0.125,-0.125,0.0
77,0.125,0,0.125,0.125
78,0,-0.125,-0.125,0.0
79,0.125,-0.125,-0.125,-0.125
80,0.125,0,0.125,0.0
81,0,-0.125,-0.125,-0.125
82,0.125,-0.125,-0.125,-0.25
83,0.125,-0.125,-0.125,-0.375
84,0.125,-0.125,-0.125,-0.5
85,0.125,0,0.125,-0.375
86,0.125,0,0.125,-0.25
87,0.125,0,0.125,-0.125
88,0.125,0,0.125,0.0
89,0,0,0,0.0
90,0,0,0,0.0
91,0,0,0,0.0
92,0,0,0,0.0
93,0,0,0,0.0
94,0,0,0,0.0
95,0,0,0,0.0
96,0,0,0,0.0
97,0,0,0,0.0
98,0,0,0,0.0
99,0,0,0,0.0
100,0,0,0,0.0
101,0,0,0,0.0
102,0,0,0,0.0
103,0,0,0,0.0
104,0,0,0,0.0
105,0,0,0,0.0
106,0,0,0,0.0
107,0,0,0,0.0
108,0,0,0,0.0
109,0,0,0,0.0
110,0,0,0,0.0
111,0,0,0,0.0
112,0,0,0,0.0
113,0,-0.125,-0.125,-0.125
114,0.125,-0.125,-0.125,-0.25
115,0.125,-0.125,-0.125,-0.375
116,0.125,-0.125,-0.125,-0.5
117,0.125,-0.125,-0.125,-0.625
118,0.125,0,0.125,-0.5
119,0.125,0,0.125,-0.375
120,0.125,0,0.125,-0.25
121,0.125,0,0.125,-0.125
122,0,0,0,-0.125
123,-0.125,-0.125,-0.125,-0.25
124,0,-0.125,-0.125,-0.375
125,0.125,-0.125,-0.125,-0.5
126,0.125,-0.125,-0.125,-0.625
127,0.125,0,0.125,-0.5
128,0.125,0,0.125,-0.375
129,0,-0.125,-0.125,-0.5
130,0.125,0,0.125,-0.375
131,0.125,0,0.125,-0.25
132,0,0,0,-0.25
133,0,0,0,-0.25
134,0,0,0,-0.25
135,0,0,0,-0.25
136,0.125,0,0.125,-0.125
137,0,0,0,-0.125
138,0,0,0,-0.125
139,0,0,0,-0.125
140,0,0,0,-0.125
141,0,0,0,-0.125
142,0,0,0,-0.125
143,0,0,0,-0.125
144,0,0,0,-0.125
145,0,0,0,-0.125
146,0,0,0,-0.125
147,0,0,0,-0.125
148,0,0,0,-0.125
149,0,0,0,-0.125
150,0,0,0,-0.125
151,0,0,0,-0.125
152,0,0,0,-0.125
153,0,0,0,-0.125
154,0,-0.125,-0.125,-0.25
155,0.125,-0.125,-0.125,-0.375
156,0.125,-0.125,-0.125,-0.5
157,0.125,-0.125,-0.125,-0.625
158,0.125,-0.125,-0.125,-0.75
159,0.125,0,0.125,-0.625
160,0.125,0,0.125,-0.5
161,0.125,0,0.125,-0.375
162,0.125,0,0.125,-0.25
163,0,0,0,-0.25
164,0.125,0,0.125,-0.125
165,0,0,0,-0.125
166,0.125,0,0.125,0.0
167,-0.125,-0.125,-0.125,-0.125
168,0.125,-0.125,-0.125,-0.25
169,0.125,0,0.125,-0.125
170,0,0,0,-0.125
171,0,0,0,-0.125
172,0,0,0,-0.125
173,0.125,0,0.125,0.0
174,0,-0.125,-0.125,-0.125
175,0.125,-0.125,-0.125,-0.25
176,0.125,-0.125,-0.125,-0.375
177,0.125,0,0.125,-0.25
178,0.125,0,0.125,-0.125
179,0.125,0.125,0.125,0.0
180,0,0,0,0.0
181,-0.125,0,-0.125,-0.125
182,0.125,0,0.125,0.0
183,0,0,0,0.0
184,0,0,0,0.0
185,0,0,0,0.0
186,0,0,0,0.0
187,0,0,0,0.0
188,0,0,0,0.0
189,0,0,0,0.0
190,0,0,0,0.0
191,0,0,0,0.0
192,0,0,0,0.0
193,0,0,0,0.0
194,0,0,0,0.0
195,0,0,0,0.0
196,0,0,0,0.0
197,0,0,0,0.0
198,0,0,0,0.0
199,0,0,0,0.0
200,0,0,0,0.0
201,0,0,0,0.0
202,0,0,0,0.0
203,0,0,0,0.0
204,0,0,0,0.0
205,0,0,0,0.0
206,0,0,0,0.0
207,0,0,0,0.0
208,0,0,0,0.0
209,0,0,0,0.0
210,0,0,0,0.0
211,0,0,0,0.0
212,0,0,0,0.0
213,0.125,0,0.125,0.125
214,0,-0.125,-0.125,0.0
215,0.125,0,0.125,0.125
216,-0.125,-0.125,-0.125,0.0
217,0,-0.125,-0.125,-0.125
218,0.125,-0.125,-0.125,-0.25
219,0.125,-0.125,-0.125,-0.375
220,0.125,0,0.125,-0.25
221,0.125,0.125,0.125,-0.125
222,0.125,0.125,0.125,0.0
223,0,0.125,0.125,0.125
224,0,0.125,0.125,0.25
225,-0.125,0,-0.125,0.125
226,-0.125,0,-0.125,0.0
227,0,0,0,0.0
228,0,0.125,0.125,0.125
229,-0.125,0.125,0.125,0.25
230,-0.125,0.125,0.125,0.375
231,-0.125,0,-0.125,0.25
232,-0.125,0,-0.125,0.125
233,-0.125,0,-0.125,0.0
234,0,0,0,0.0
235,0,0.125,0.125,0.125
236,-0.125,0.125,0.125,0.25
237,-0.125,0.125,0.125,0.375
238,-0.125,0,-0.125,0.25
239,-0.125,0,-0.125,0.125
240,0,0,0,0.125
241,0,0,0,0.125
242,0,0.125,0.125,0.25
243,-0.125,0.125,0.125,0.375
244,-0.125,0.125,0.125,0.5
245,-0.125,0,-0.125,0.375
246,-0.125,0,-0.125,0.25
247,-0.125,-0.125,-0.125,0.125
248,-0.125,0.125,0.125,0.25
249,-0.125,0.125,0.125,0.375
250,-0.125,0.125,0.125,0.5
251,-0.125,0,-0.125,0.375
252,-0.125,0,-0.125,0.25
253,-0.125,0,-0.125,0.125
254,0,0.125,0.125,0.25
255,-0.125,0.125,0.125,0.375
256,-0.125,0.125,0.125,0.5
257,-0.125,0.125,0.125,0.625
258,-0.125,0,-0.125,0.5
259,-0.125,0,-0.125,0.375
260,-0.125,0,-0.125,0.25
261,-0.125,0.125,0.125,0.375
262,-0.125,0.125,0.125,0.5
263,-0.125,0.125,0.125,0.625
264,-0.125,0.125,0.125,0.75
265,-0.125,0,-0.125,0.625
266,-0.125,0,-0.125,0.5
267,-0.125,0,-0.125,0.375
