1499521568369546, 1, , 240
1499521568492004, 2, , 240
1499521568564947, 3, , 240
1499521568633664, 4, , 240
1499521568706618, 5, , 240
1499521568777502, 6, , 240
1499521568846356, 7, , 240
1499521568920257, 8, , 240
1499521568989824, 9, , 240
1499521569062810, 10, , 288
1499521569086735, 11, , 288
1499521569157587, 12, , 288
1499521569224163, 13, , 288
1499521569290121, 14, , 288
1499521569362182, 15, , 288
1499521569432034, 16, , 288
1499521569506598, 17, , 288
1499521569576233, 18, , 288
1499521569645077, 19, 108, 288
1499521569710469, 20, 108, 288
1499521569780080, 21, 108, 288
1499521569849922, 22, 108, 288
1499521569924526, 23, 108, 288
1499521569995921, 24, 108, 288
1499521570070393, 25, 108, 288
1499521570137231, 26, 108, 288
1499521570211664, 27, 108, 288
1499521570282757, 28, 108, 288
1499521570357774, 29, 108, 288
1499521570427706, 30, 108, 288
1499521570497749, 31, 107, 288
1499521570526901, 32, 107, 288
1499521570597095, 33, 107, 288
1499521570671180, 34, 107, 288
1499521570742195, 35, 107, 288
1499521570817047, 36, 107, 288
1499521570886779, 37, 107, 288
1499521570958987, 38, 107, 288
1499521571031614, 39, 107, 288
1499521571107975, 40, 107, 288
1499521571180527, 41, 107, 288
1499521571257702, 42, 107, 288
1499521571330664, 43, 107, 288
1499521571408590, 44, 107, 288
1499521571482853, 45, 107, 288
1499521571559943, 46, 107, 288
1499521571633236, 47, 107, 288
1499521571710934, 48, 107, 288
1499521571784342, 49, 107, 288
1499521571856144, 50, 107, 288
1499521571929145, 51, 107, 288
1499521572000828, 52, 107, 288
1499521572075753, 53, 107, 288
1499521572146291, 54, 107, 288
1499521572221493, 55, 107, 288
1499521572294847, 56, 107, 288
1499521572370298, 57, 107, 288
1499521572441819, 58, 107, 288
1499521572516734, 59, 107, 288
1499521572587411, 60, 107, 288
1499521572663227, 61, 107, 288
1499521572728837, 62, 107, 288
1499521572799348, 63, 107, 288
1499521572874650, 64, 107, 288
1499521572945766, 65, 107, 288
1499521573021413, 66, 107, 288
1499521573093756, 67, 107, 288
1499521573169075, 68, 107, 288
1499521573240137, 69, 107, 288
1499521573320603, 70, 107, 288
1499521573394914, 71, 107, 288
1499521573472058, 72, 107, 288
1499521573545099, 73, 107, 288
1499521573615127, 74, 107, 288
1499521573687961, 75, 107, 288
1499521573768476, 76, 107, 288
1499521573842636, 77, 107, 288
1499521573919927, 78, 107, 288
1499521573992824, 79, 107, 288
1499521574070436, 80, 107, 288
1499521574144537, 81, 107, 288
1499521574221873, 82, 107, 288
1499521574293693, 83, 107, 288
1499521574370414, 84, 107, 288
1499521574445292, 85, 107, 288
1499521574516581, 86, 107, 288
1499521574589838, 87, 107, 288
