ts_micro,frame,btn,speed
1503544209495,1,107,240
1503544209561,2,107,240
1503544209600,3,107,240
1503544209645,4,107,240
1503544209695,5,107,240
1503544209771,6,107,240
1503544209821,7,107,240
1503544209861,8,107,240
1503544209902,9,107,240
1503544209945,10,107,240
1503544209995,11,107,240
1503544210045,12,107,240
1503544210095,13,107,240
1503544210145,14,107,240
1503544210195,15,107,240
1503544210245,16,107,240
1503544210295,17,107,240
1503544210345,18,107,240
1503544210395,19,107,240
1503544210445,20,107,240
1503544210495,21,107,240
1503544210545,22,107,240
1503544210595,23,107,240
1503544210645,24,107,240
1503544210695,25,107,240
1503544210745,26,107,240
1503544210795,27,107,240
1503544210845,28,107,240
1503544210895,29,107,240
1503544210945,30,107,240
1503544210995,31,107,240
1503544211045,32,107,240
1503544211095,33,107,240
1503544211145,34,107,240
1503544211195,35,107,240
1503544211245,36,107,240
1503544211295,37,107,240
1503544211345,38,107,240
1503544211395,39,107,240
1503544211445,40,107,240
1503544211495,41,107,240
1503544211545,42,107,240
1503544211595,43,107,240
1503544211645,44,107,240
1503544211695,45,107,240
1503544211745,46,107,240
1503544211795,47,107,240
1503544211845,48,107,240
1503544211895,49,107,240
1503544211945,50,108,240
1503544211995,51,108,240
1503544212045,52,108,240
1503544212095,53,108,240
1503544212145,54,108,240
1503544212195,55,107,240
1503544212245,56,107,240
1503544212295,57,107,240
1503544212345,58,107,240
1503544212395,59,107,240
1503544212445,60,107,240
1503544212495,61,107,240
1503544212545,62,107,240
1503544212595,63,107,240
1503544212645,64,107,240
1503544212695,65,107,240
1503544212745,66,107,240
1503544212795,67,107,240
1503544212845,68,107,240
1503544212895,69,107,240
1503544212945,70,107,240
1503544212995,71,107,240
1503544213045,72,107,240
1503544213095,73,107,240
1503544213145,74,107,240
1503544213195,75,108,240
1503544213245,76,108,240
1503544213295,77,108,240
1503544213345,78,108,240
1503544213395,79,107,240
1503544213445,80,107,240
1503544213495,81,107,240
1503544213545,82,107,240
1503544213595,83,107,240
1503544213645,84,107,240
1503544213695,85,107,240
1503544213745,86,107,240
1503544213795,87,107,240
1503544213845,88,107,240
1503544213895,89,107,240
1503544213945,90,107,240
1503544213995,91,107,240
1503544214045,92,107,240
1503544214095,93,107,240
1503544214145,94,107,240
1503544214195,95,107,240
1503544214245,96,107,240
1503544214295,97,107,240
1503544214345,98,107,240
1503544214395,99,107,240
1503544214445,100,107,240
1503544214495,101,107,240
1503544214545,102,107,240
1503544214595,103,107,240
1503544214645,104,107,240
1503544214695,105,107,240
1503544214745,106,108,240
1503544214795,107,108,240
1503544214845,108,108,240
1503544214895,109,108,240
1503544214945,110,108,240
1503544214995,111,108,240
1503544215045,112,108,240
1503544215095,113,108,240
1503544215145,114,108,240
1503544215195,115,108,240
1503544215245,116,108,240
1503544215295,117,107,240
1503544215345,118,107,240
1503544215395,119,107,240
1503544215445,120,107,240
1503544215495,121,107,240
1503544215545,122,107,240
1503544215595,123,107,240
1503544215645,124,107,240
1503544215695,125,107,240
1503544215745,126,107,240
1503544215795,127,107,240
1503544215845,128,107,240
1503544215895,129,107,240
1503544215945,130,107,240
1503544215995,131,107,240
1503544216045,132,107,240
1503544216095,133,107,240
1503544216145,134,107,240
1503544216195,135,107,240
1503544216245,136,107,240
1503544216295,137,107,240
1503544216345,138,107,240
1503544216395,139,107,240
1503544216445,140,107,240
1503544216495,141,107,240
1503544216545,142,107,240
1503544216595,143,107,240
1503544216645,144,107,240
1503544216695,145,107,240
1503544216745,146,107,240
1503544216795,147,107,240
1503544216845,148,107,240
1503544216895,149,107,240
1503544216945,150,107,240
1503544216995,151,107,240
1503544217045,152,107,240
1503544217095,153,107,240
1503544217145,154,107,240
1503544217195,155,107,240
1503544217245,156,108,240
1503544217295,157,108,240
1503544217345,158,108,240
1503544217395,159,108,240
1503544217445,160,108,240
1503544217495,161,108,240
1503544217545,162,108,240
1503544217595,163,108,240
1503544217645,164,108,240
1503544217695,165,108,240
1503544217745,166,108,240
1503544217795,167,108,240
1503544217845,168,107,240
1503544217895,169,107,240
1503544217945,170,107,240
1503544217995,171,107,240
1503544218045,172,107,240
1503544218095,173,107,240
1503544218145,174,107,240
1503544218195,175,107,240
1503544218245,176,107,240
1503544218295,177,107,240
1503544218345,178,107,240
1503544218395,179,107,240
1503544218445,180,107,240
1503544218495,181,107,240
1503544218545,182,107,240
1503544218595,183,107,240
1503544218645,184,107,240
1503544218695,185,107,240
1503544218745,186,107,240
1503544218795,187,107,240
1503544218845,188,107,240
1503544218895,189,107,240
1503544218945,190,107,240
1503544218995,191,107,240
1503544219045,192,107,240
1503544219095,193,107,240
1503544219145,194,107,240
1503544219195,195,107,240
1503544219245,196,107,240
1503544219295,197,108,240
1503544219345,198,108,240
1503544219395,199,108,240
1503544219445,200,108,240
1503544219495,201,108,240
1503544219545,202,108,240
1503544219595,203,108,240
1503544219645,204,107,240
1503544219695,205,107,240
1503544219745,206,107,240
1503544219795,207,107,240
1503544219845,208,107,240
1503544219895,209,107,240
1503544219945,210,107,240
1503544219995,211,107,240
1503544220045,212,107,240
1503544220095,213,108,240
1503544220145,214,108,240
1503544220195,215,108,240
1503544220245,216,107,240
1503544220295,217,107,240
1503544220345,218,107,240
1503544220395,219,107,240
1503544220445,220,107,240
1503544220495,221,107,240
1503544220545,222,107,240
1503544220595,223,107,240
1503544220645,224,107,240
1503544220695,225,107,240
1503544220745,226,107,240
1503544220795,227,107,240
1503544220845,228,107,240
1503544220895,229,107,240
1503544220945,230,107,240
1503544220995,231,107,240
1503544221045,232,107,240
1503544221095,233,107,240
1503544221145,234,107,240
1503544221195,235,107,240
1503544221245,236,107,240
1503544221295,237,107,240
1503544221345,238,107,240
1503544221395,239,107,240
1503544221445,240,107,240
1503544221495,241,107,240
1503544221545,242,107,240
1503544221595,243,107,240
1503544221645,244,107,240
1503544221695,245,107,240
1503544221745,246,107,240
1503544221795,247,107,240
1503544221845,248,107,240
1503544221895,249,107,240
1503544221945,250,107,240
1503544221995,251,107,240
1503544222045,252,107,240
1503544222095,253,108,240
1503544222145,254,108,240
1503544222195,255,108,240
1503544222245,256,108,240
1503544222295,257,108,240
1503544222345,258,108,240
1503544222395,259,108,240
1503544222445,260,108,240
1503544222495,261,107,240
1503544222545,262,107,240
1503544222595,263,107,240
1503544222645,264,107,240
1503544222695,265,107,240
1503544222745,266,107,240
1503544222795,267,107,240
1503544222845,268,107,240
1503544222895,269,107,240
1503544222945,270,107,240
1503544222995,271,107,240
1503544223045,272,107,240
1503544223095,273,107,240
1503544223145,274,107,240
1503544223195,275,107,240
1503544223245,276,107,240
1503544223295,277,107,240
1503544223345,278,107,240
1503544223395,279,107,240
1503544223445,280,107,240
1503544223495,281,107,240
1503544223545,282,107,240
1503544223595,283,107,240
1503544223645,284,107,240
1503544223695,285,107,240
1503544223745,286,107,240
1503544223795,287,107,240
1503544223845,288,107,240
1503544223895,289,107,240
1503544223945,290,108,240
1503544223995,291,108,240
1503544224045,292,108,240
1503544224095,293,108,240
1503544224145,294,108,240
1503544224195,295,108,240
1503544224245,296,108,240
1503544224295,297,108,240
1503544224345,298,107,240
1503544224395,299,107,240
1503544224445,300,107,240
1503544224495,301,107,240
1503544224545,302,107,240
1503544224595,303,107,240
1503544224645,304,107,240
1503544224695,305,107,240
1503544224745,306,107,240
1503544224795,307,107,240
1503544224845,308,107,240
1503544224895,309,107,240
1503544224945,310,107,240
1503544224995,311,107,240
1503544225045,312,107,240
1503544225095,313,107,240
1503544225145,314,107,240
1503544225195,315,107,240
1503544225245,316,107,240
1503544225295,317,107,240
1503544225345,318,107,240
1503544225395,319,107,240
1503544225445,320,107,240
1503544225495,321,107,240
1503544225545,322,107,240
1503544225595,323,107,240
1503544225645,324,107,240
1503544225695,325,107,240
1503544225745,326,107,240
1503544225795,327,107,240
1503544225845,328,107,240
1503544225895,329,107,240
1503544225945,330,107,240
1503544225995,331,107,240
1503544226045,332,107,240
1503544226095,333,108,240
1503544226145,334,108,240
1503544226195,335,108,240
1503544226245,336,108,240
1503544226295,337,108,240
1503544226345,338,108,240
1503544226395,339,108,240
1503544226445,340,107,240
1503544226495,341,107,240
1503544226545,342,107,240
1503544226595,343,107,240
1503544226645,344,107,240
1503544226695,345,107,240
1503544226745,346,107,240
1503544226795,347,107,240
1503544226845,348,107,240
1503544226895,349,107,240
1503544226945,350,107,240
1503544226995,351,108,240
1503544227045,352,108,240
1503544227095,353,108,240
1503544227145,354,108,240
1503544227195,355,108,240
1503544227245,356,108,240
1503544227295,357,108,240
1503544227345,358,108,240
1503544227395,359,108,240
1503544227445,360,107,240
1503544227495,361,107,240
1503544227545,362,107,240
1503544227595,363,107,240
1503544227645,364,107,240
1503544227695,365,107,240
1503544227745,366,107,240
1503544227795,367,107,240
1503544227845,368,107,240
1503544227895,369,107,240
1503544227945,370,107,240
1503544227995,371,107,240
1503544228045,372,107,240
1503544228095,373,107,240
1503544228145,374,107,240
1503544228195,375,107,240
1503544228245,376,107,240
1503544228295,377,107,240
1503544228345,378,108,240
1503544228395,379,108,240
1503544228445,380,108,240
1503544228495,381,107,240
1503544228545,382,107,240
1503544228595,383,107,240
1503544228645,384,107,240
1503544228695,385,107,240
1503544228745,386,107,240
1503544228795,387,107,240
1503544228845,388,107,240
1503544228895,389,107,240
1503544228945,390,107,240
1503544228995,391,107,240
1503544229045,392,107,240
1503544229095,393,107,240
1503544229145,394,107,240
1503544229195,395,107,240
1503544229245,396,107,240
1503544229295,397,107,240
1503544229345,398,107,240
1503544229395,399,107,240
1503544229445,400,107,240
