ts_micro,frame,wheel
1504102569458,1,0.0
1504102569608,2,0.0
1504102569749,3,0.0
1504102569886,4,0.0
1504102570021,5,0.0
1504102570156,6,0.0
1504102570291,7,0.0
1504102570375,8,0.0
1504102570510,9,0.0
1504102570644,10,0.0
1504102570778,11,0.0
1504102570912,12,0.0
1504102571051,13,0.0
1504102571176,14,0.0
1504102571321,15,0.0
1504102571468,16,0.0
1504102571614,17,0.0
1504102571763,18,0.0
1504102571912,19,0.0
1504102572061,20,0.0
1504102572211,21,0.0
1504102572360,22,0.0
1504102572510,23,0.0
1504102572661,24,0.0
1504102572811,25,0.0
1504102572933,26,0.0
1504102573083,27,0.0
1504102573232,28,0.0
1504102573380,29,0.0
1504102573529,30,0.0
1504102573678,31,0.0
1504102573788,32,0.0
1504102573890,33,0.0
1504102573991,34,0.0
1504102574093,35,0.0
1504102574194,36,0.0
1504102574295,37,0.0
1504102574382,38,0.0
1504102574483,39,0.0
1504102574583,40,0.0
1504102574683,41,0.0
1504102574783,42,0.0
1504102574884,43,0.0
1504102574984,44,0.0
1504102575086,45,0.0
1504102575186,46,0.0
1504102575288,47,0.0
1504102575389,48,0.0
1504102575491,49,0.0
1504102575579,50,0.0
1504102575680,51,0.0
1504102575781,52,0.0
1504102575881,53,0.0
1504102575982,54,0.0
1504102576084,55,0.0
1504102576185,56,0.0
1504102576287,57,0.0
1504102576388,58,0.0
1504102576490,59,0.0
1504102576590,60,0.523598775598
1504102576642,61,0.523598775598
1504102576730,62,0.0
1504102576829,63,0.0
1504102576931,64,0.0
1504102577034,65,0.0
1504102577135,66,0.0
1504102577238,67,0.0
1504102577341,68,0.0
1504102577444,69,0.0
1504102577545,70,0.0
1504102577646,71,0.0
1504102577747,72,0.0
1504102577847,73,0.0
1504102577935,74,0.0
1504102578036,75,0.0
1504102578139,76,0.0
1504102578243,77,-0.523598775598
1504102578327,78,-0.523598775598
1504102578428,79,-0.523598775598
1504102578530,80,0.0
1504102578600,81,0.0
1504102578703,82,0.0
1504102578804,83,0.0
1504102578908,84,-0.523598775598
1504102578967,85,-0.523598775598
1504102579056,86,-0.523598775598
1504102579158,87,0.0
1504102579242,88,0.0
1504102579344,89,0.0
1504102579443,90,0.0
1504102579546,91,-0.523598775598
1504102579600,92,-0.523598775598
1504102579705,93,-0.523598775598
1504102579806,94,0.0
1504102579891,95,0.0
1504102579993,96,0.0
1504102580091,97,0.0
1504102580178,98,0.0
1504102580281,99,0.0
1504102580385,100,0.0
1504102580488,101,0.0
1504102580589,102,0.0
1504102580690,103,0.0
1504102580791,104,0.0
1504102580891,105,0.0
1504102580992,106,0.0
1504102581093,107,0.0
1504102581195,108,0.0
1504102581295,109,0.0
1504102581383,110,0.0
1504102581484,111,0.0
1504102581585,112,0.0
1504102581685,113,0.0
1504102581786,114,0.0
1504102581887,115,0.0
1504102581987,116,0.0
1504102582089,117,0.0
1504102582189,118,0.0
1504102582289,119,0.0
1504102582390,120,0.0
1504102582491,121,0.0
1504102582578,122,0.0
1504102582680,123,0.0
1504102582781,124,0.0
1504102582883,125,0.0
1504102582984,126,0.0
1504102583085,127,0.0
1504102583187,128,0.523598775598
1504102583271,129,0.523598775598
1504102583373,130,0.523598775598
1504102583475,131,0.0
1504102583527,132,0.0
1504102583629,133,0.0
1504102583717,134,0.0
1504102583826,135,0.0
1504102583930,136,0.0
1504102584030,137,0.0
1504102584133,138,0.0
1504102584234,139,0.0
1504102584336,140,0.0
1504102584437,141,0.0
1504102584539,142,0.0
1504102584640,143,0.0
1504102584745,144,0.0
1504102584846,145,0.0
1504102584934,146,0.0
1504102585036,147,0.0
1504102585137,148,0.0
1504102585239,149,0.0
1504102585340,150,0.0
1504102585476,151,0.0
1504102585587,152,0.0
1504102585688,153,-0.523598775598
1504102585766,154,0.0
1504102585822,155,0.0
1504102585926,156,0.0
1504102586029,157,0.0
1504102586116,158,0.0
1504102586219,159,0.0
1504102586321,160,0.0
1504102586425,161,0.0
1504102586525,162,0.0
1504102586626,163,0.0
1504102586728,164,0.0
1504102586829,165,0.0
1504102586930,166,0.0
1504102587031,167,0.0
1504102587134,168,0.0
1504102587235,169,0.0
1504102587323,170,0.0
1504102587425,171,0.0
1504102587485,172,0.0
1504102587588,173,0.0
1504102587691,174,0.0
1504102587793,175,0.0
1504102587896,176,0.0
1504102587998,177,0.0
1504102588100,178,0.0
