frame,machine angle,expert angle,chosen angle,angle
0,0.125,0,0.125,0.125
1,0,0,0,0.125
2,0,0,0,0.125
3,0,0,0,0.125
4,0,0,0,0.125
5,0,0,0,0.125
6,0,0,0,0.125
7,-0.125,0,-0.125,0
8,0.25,0,0.125,0.125
9,0.125,0,0.125,0.25
10,0,0,0,0.25
11,0,0,0,0.25
12,0.125,0,0.125,0.375
13,0,-0.125,0,0.375
14,0,0,0,0.375
15,0,0,0,0.375
16,0,0,0,0.375
17,-0.125,0,-0.125,0.25
18,0,0,0,0.25
19,0.125,-0.125,-0.125,0.125
20,0,-0.125,-0.125,0
21,0.5,-0.125,-0.125,-0.125
22,0.5,-0.125,-0.125,-0.25
23,0.625,-0.125,-0.125,-0.375
24,0.75,-0.125,0.125,-0.25
25,0.625,0.125,0.125,-0.125
26,0.625,0.125,0.125,0
27,0.5,0.125,0.125,0.125
28,0.125,0,0.125,0.25
29,0.125,-0.125,0.125,0.375
30,-0.25,0,-0.125,0.25
31,-0.25,-0.125,-0.125,0.125
32,0.25,-0.125,-0.125,0
33,0.375,-0.125,-0.125,-0.125
34,0.125,-0.125,-0.125,-0.25
35,0.375,-0.125,-0.125,-0.375
36,0.5,-0.125,-0.125,-0.5
37,0.5,0,0.125,-0.375
38,0.375,0,0.125,-0.25
39,0.25,0,0.125,-0.125
40,0.125,0,0.125,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0.125,0,0.125,0.125
56,-0.125,0,-0.125,0
57,0.125,0,0.125,0.125
58,0,0,0,0.125
59,0,0,0,0.125
60,0,0,0,0.125
61,0.125,0,0.125,0.25
62,-0.25,0,-0.125,0.125
63,-0.125,0,-0.125,0
64,0.125,0,0.125,0.125
65,0,0,0,0.125
66,0,0,0,0.125
67,0.125,0.125,0.125,0.25
68,-0.125,0,-0.125,0.125
69,0.125,0,0.125,0.25
70,0,0.125,0.125,0.375
71,-0.25,0.125,0.125,0.5
72,-0.375,0.125,-0.125,0.375
73,-0.375,0.125,-0.125,0.25
74,0.125,0.125,0.125,0.375
75,0,0.125,0.125,0.5
76,-0.125,0.125,0.125,0.625
77,-0.25,0.125,0.125,0.75
78,-0.125,0.125,0.125,0.875
79,-0.5,0.125,0.125,1
80,-0.625,0.125,-0.125,0.875
81,-0.5,-0.125,-0.125,0.75
82,-0.25,0,-0.125,0.625
83,-0.25,0,-0.125,0.5
84,0,-0.125,-0.125,0.375
85,0.25,-0.125,-0.125,0.25
86,0.25,0.125,0.125,0.375
87,0,0,0,0.375
88,0.125,0,0.125,0.5
89,-0.125,0.125,0.125,0.625
90,0,0.125,0,0.625
91,-0.125,0.125,0.125,0.75
92,-0.25,0.125,0.125,0.875
93,-0.5,0.125,0.125,1
94,-0.5,0,0,1
