frame,machine angle,expert angle,chosen angle,angle
0,0.125,0,0.125,0.125
1,0,0,0,0.125
2,0,0,0,0.125
3,0,0,0,0.125
4,0,0,0,0.125
5,0,0,0,0.125
6,0.125,0,0.125,0.25
7,-0.125,0,-0.125,0.125
8,0,0,0,0.125
9,0,0,0,0.125
10,0.125,0,0.125,0.25
11,0,0,0,0.25
12,0.125,0,0.125,0.375
13,0,0,0,0.375
14,0,0,0,0.375
15,0.125,0,0.125,0.5
16,-0.125,0,-0.125,0.375
17,0,-0.125,-0.125,0.25
18,0.125,0,0.125,0.375
19,0,0,0,0.375
20,0.125,0,0.125,0.5
21,0,0,0,0.5
22,0,-0.125,0,0.5
23,0,0,0,0.5
24,0,0,0,0.5
25,-0.125,0,-0.125,0.375
26,0,0,0,0.375
27,0,-0.125,-0.125,0.25
28,0.25,-0.125,-0.125,0.125
29,0.375,-0.125,-0.125,0
30,0.5,0,0.125,0.125
31,0.375,0,0.125,0.25
32,0.25,0.125,0.125,0.375
33,0,0,0,0.375
34,0,0,0,0.375
35,-0.125,0,-0.125,0.25
36,0,-0.125,-0.125,0.125
37,0.125,0,0.125,0.25
38,0,0,0,0.25
39,0,0,0,0.25
40,-0.25,0,-0.125,0.125
41,0.125,-0.125,0.125,0.25
42,0.125,0,0.125,0.375
43,0,0,0,0.375
44,-0.125,-0.125,-0.125,0.25
45,-0.125,-0.125,-0.125,0.125
46,0,-0.125,-0.125,0
47,0.25,-0.125,-0.125,-0.125
48,0.5,-0.125,-0.125,-0.25
49,0.5,-0.125,-0.125,-0.375
50,0.625,-0.125,-0.125,-0.5
51,0.75,0,0.125,-0.375
52,0.625,0,0.125,-0.25
53,0.25,0,0.125,-0.125
54,0.125,0,0.125,0
55,0.125,-0.125,-0.125,-0.125
56,0.125,0,0.125,0
57,0.125,0,0.125,0.125
58,-0.25,-0.125,-0.125,0
59,0,-0.125,-0.125,-0.125
60,0.125,-0.125,-0.125,-0.25
61,0.375,-0.125,0.125,-0.125
62,0.125,-0.125,-0.125,-0.25
63,0.25,-0.125,-0.125,-0.375
64,0.5,-0.125,-0.125,-0.5
65,0.5,0,0.125,-0.375
66,0.375,0,0.125,-0.25
67,0.25,0,0.125,-0.125
68,0.125,0,0.125,0
69,0,0.125,0.125,0.125
70,-0.125,0,-0.125,0
71,0.125,0,0.125,0.125
72,0,0,0,0.125
73,0,0,0,0.125
74,-0.125,0,-0.125,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0.125,0,0.125,0.125
82,0,0,0,0.125
83,0,0,0,0.125
84,0.125,0,0.125,0.25
85,-0.125,0,-0.125,0.125
86,-0.125,0,-0.125,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0.125,0,0.125,0.125
92,-0.125,0.125,0.125,0.25
93,-0.25,0,-0.125,0.125
94,0,0,0,0.125
95,0,0,0,0.125
96,-0.125,0,-0.125,0
97,0,0.125,0.125,0.125
98,-0.125,0,-0.125,0
99,0,0,0,0
100,0,0,0,0
101,0.125,0.125,0.125,0.125
102,0.375,0.125,0.125,0.25
103,0.375,0.125,0.125,0.375
104,0.125,0.125,0.125,0.5
105,0,0.125,0.125,0.625
106,-0.125,0.125,0.125,0.75
107,-0.25,0.125,0.125,0.875
108,-0.5,0.125,0.125,1
109,-0.75,0.125,0.125,1.125
110,-0.625,0.125,0.125,1.25
111,-0.875,0.125,0.125,1.375
112,-1.125,0,-0.125,1.25
113,-0.875,-0.125,-0.125,1.125
114,-0.75,0,-0.125,1
115,-0.5,0,-0.125,0.875
116,-0.375,-0.125,-0.125,0.75
117,-0.25,-0.125,-0.125,0.625
118,-0.125,-0.125,-0.125,0.5
119,0.125,-0.125,-0.125,0.375
120,0,0.125,0.125,0.5
121,-0.375,0,-0.125,0.375
122,0,0,0,0.375
123,0.125,0.125,0.125,0.5
124,-0.125,0,-0.125,0.375
125,0.125,0,0.125,0.5
126,0,0.125,0.125,0.625
127,-0.125,0,-0.125,0.5
128,-0.125,0,-0.125,0.375
129,-0.125,0,-0.125,0.25
130,0.25,0.125,0.125,0.375
131,-0.125,0,-0.125,0.25
132,-0.125,0,0,0.25
