frame,machine angle,expert angle,chosen angle,angle
0,0.125,0,0.125,0.125
1,0.0,0,0.0,0.125
2,0.0,0,0.0,0.125
3,0.0,0,0.0,0.125
4,0.0,0,0.0,0.125
5,0.0,0,0.0,0.125
6,0.0,0,0.0,0.125
7,0.0,0,0.0,0.125
8,-0.125,0,-0.125,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.125,-0.125,-0.125,-0.125
12,0.25,0,0.125,0.0
13,0.0,-0.125,-0.125,-0.125
14,0.25,0,0.125,0.0
15,0.125,0,0.125,0.125
16,0.0,0,0.0,0.125
17,0.0,0,0.0,0.125
18,0.125,0,0.125,0.25
19,0.0,0,0.0,0.25
20,-0.125,0,-0.125,0.125
21,0.125,-0.125,0.125,0.25
22,0.0,-0.125,-0.125,0.125
23,0.125,0,0.125,0.25
24,0.125,-0.125,-0.125,0.125
25,0.25,0,0.125,0.25
26,0.125,0,0.125,0.375
27,0.0,0,0.0,0.375
28,0.0,-0.125,-0.125,0.25
29,0.125,-0.125,0.125,0.375
30,0.0,-0.125,-0.125,0.25
31,0.25,-0.125,-0.125,0.125
32,0.25,0,0.125,0.25
33,0.125,0,0.125,0.375
34,-0.25,-0.125,-0.125,0.25
35,0.0,-0.125,-0.125,0.125
36,0.125,-0.125,-0.125,0.0
37,0.25,-0.125,-0.125,-0.125
38,0.25,-0.125,-0.125,-0.25
39,0.375,-0.125,-0.125,-0.375
40,0.375,-0.125,-0.125,-0.5
41,0.5,-0.125,0.125,-0.375
42,0.5,0,0.125,-0.25
43,0.25,0,0.125,-0.125
44,0.25,-0.125,-0.125,-0.25
45,0.25,-0.125,-0.125,-0.375
46,0.25,-0.125,-0.125,-0.5
47,0.375,0,0.125,-0.375
48,0.125,0.125,0.125,-0.25
49,0.125,0.125,0.125,-0.125
50,0.0,0.125,0.0,-0.125
51,0.125,0.125,0.125,0.0
52,-0.125,0.125,0.125,0.125
53,-0.125,0,-0.125,0.0
54,0.0,0,0.0,0.0
55,0.125,0,0.125,0.125
56,0.125,0.125,0.125,0.25
57,0.0,0.125,0.125,0.375
58,-0.125,0.125,0.125,0.5
59,-0.25,0,-0.125,0.375
60,0.0,-0.125,0.0,0.375
61,0.0,0,0.0,0.375
62,0.0,-0.125,-0.125,0.25
63,0.0,0,0.0,0.25
64,0.0,0,0.0,0.25
65,-0.125,0,-0.125,0.125
66,0.125,0,0.125,0.25
67,0.0,0,0.0,0.25
68,0.125,0,0.125,0.375
69,0.0,0.125,0.125,0.5
70,0.0,0.125,0.125,0.625
71,-0.125,0.125,-0.125,0.5
72,0.0,0,0.0,0.5
73,0.125,0,0.125,0.625
74,0.0,0.125,0.125,0.75
75,0.0,0.125,0.125,0.875
76,-0.125,0,-0.125,0.75
77,0.25,0,0.125,0.875
78,0.125,0,0.125,1.0
79,-0.375,0,-0.125,0.875
80,-0.25,0,-0.125,0.75
81,0.0,-0.125,0.0,0.75
82,0.0,-0.125,-0.125,0.625
83,0.0,-0.125,-0.125,0.5
84,0.0,0,0.0,0.5
85,0.125,0,0.125,0.625
86,0.0,0,0.0,0.625
87,0.125,0,0.125,0.75
88,-0.125,0,-0.125,0.625
89,0.125,0,0.125,0.75
90,-0.25,-0.125,-0.125,0.625
91,-0.125,-0.125,-0.125,0.5
92,-0.125,-0.125,-0.125,0.375
93,-0.125,0,-0.125,0.25
94,-0.125,0,-0.125,0.125
95,0.0,-0.125,0.0,0.125
96,0.0,-0.125,-0.125,0.0
97,0.125,-0.125,-0.125,-0.125
98,0.25,0,0.125,0.0
99,0.125,-0.125,0.125,0.125
100,0.0,0.125,0.125,0.25
101,-0.125,-0.125,-0.125,0.125
102,0.0,-0.125,-0.125,0.0
103,-0.125,0,-0.125,-0.125
104,0.0,-0.125,-0.125,-0.25
105,0.125,0,0.125,-0.125
106,0.0,0.125,0.0,-0.125
107,0.125,0,0.125,0.0
108,-0.125,0.125,-0.125,-0.125
109,0.125,0.125,0.125,0.0
110,0.125,0.125,0.125,0.125
111,0.0,0.125,0.125,0.25
112,0.125,0.125,0.125,0.375
113,-0.125,0.125,0.125,0.5
114,-0.125,0.125,-0.125,0.375
115,0.125,0,0.125,0.5
116,0.0,0,0.0,0.5
117,0.125,0,0.125,0.625
118,-0.125,0,-0.125,0.5
119,0.0,0,0.0,0.5
120,-0.125,0,-0.125,0.375
